iter	Passed	Remaining
424	1993	2697
425	1997	2691
426	2002	2687
427	2007	2682
428	2011	2677
429	2016	2672
430	2020	2667
431	2024	2661
432	2028	2656
433	2032	2651
434	2036	2645
435	2038	2637
436	2042	2631
437	2045	2625
438	2049	2619
439	2053	2614
440	2057	2608
441	2061	2602
442	2062	2593
443	2066	2587
444	2070	2582
445	2074	2577
446	2078	2571
447	2082	2565
448	2085	2559
449	2089	2554
450	2091	2545
451	2094	2539
452	2098	2534
453	2102	2528
454	2106	2523
455	2111	2518
456	2115	2513
457	2120	2509
458	2124	2504
459	2129	2499
460	2133	2494
461	2137	2488
462	2141	2484
463	2146	2479
464	2150	2473
465	2155	2469
466	2159	2464
467	2163	2459
468	2167	2453
469	2171	2448
470	2175	2443
471	2177	2435
472	2181	2430
473	2183	2423
474	2187	2417
475	2191	2412
476	2196	2408
477	2199	2402
478	2203	2396
479	2207	2391
480	2211	2386
481	2215	2381
482	2219	2376
483	2224	2371
484	2228	2366
485	2232	2361
486	2236	2356
487	2240	2350
488	2244	2345
489	2248	2340
490	2252	2334
491	2256	2329
492	2258	2322
493	2262	2317
494	2266	2312
495	2270	2307
496	2274	2302
497	2279	2297
498	2283	2292
499	2287	2287
500	2291	2281
501	2292	2273
502	2296	2268
503	2299	2263
504	2303	2257
505	2307	2252
506	2311	2247
507	2315	2242
508	2319	2237
509	2320	2229
510	2324	2224
511	2328	2218
512	2330	2212
513	2334	2206
514	2337	2201
515	2341	2196
516	2345	2190
517	2348	2185
518	2352	2180
519	2356	2174
520	2359	2169
521	2363	2164
522	2367	2159
523	2370	2153
524	2374	2148
525	2378	2142
526	2381	2137
527	2385	2132
528	2388	2127
529	2392	2121
530	2395	2116
531	2399	2110
532	2403	2105
533	2407	2100
534	2411	2095
535	2414	2090
536	2418	2085
537	2422	2080
538	2426	2075
539	2430	2070
540	2434	2065
541	2438	2060
542	2442	2055
543	2446	2051
544	2450	2045
545	2452	2039
546	2456	2034
547	2460	2029
548	2465	2025
549	2469	2020
550	2474	2016
551	2478	2011
552	2483	2007
553	2487	2002
554	2491	1998
555	2496	1993
556	2500	1989
557	2505	1984
558	2509	1980
559	2514	1975
560	2515	1968
561	2519	1963
562	2524	1959
563	2529	1955
564	2533	1950
565	2539	1946
566	2543	1942
567	2548	1938
568	2554	1934
569	2559	1930
570	2564	1926
571	2569	1922
572	2574	1918
573	2579	1914
574	2584	1909
575	2588	1905
576	2593	1901
577	2594	1893
578	2598	1889
579	2604	1885
580	2609	1881
581	2614	1877
582	2619	1873
583	2624	1869
584	2631	1866
585	2636	1862
586	2642	1859
587	2649	1856
588	2655	1852
589	2661	1849
590	2667	1846
591	2673	1842
592	2678	1838
593	2684	1834
594	2691	1831
595	2696	1827
596	2702	1824
597	2702	1816
598	2706	1812
599	2712	1808
600	2717	1804
601	2722	1800
602	2727	1795
603	2731	1791
604	2737	1786
605	2742	1782
606	2747	1778
607	2752	1774
608	2759	1771
609	2765	1768
610	2771	1764
611	2778	1761
612	2785	1758
613	2791	1755
614	2797	1751
615	2804	1748
616	2810	1744
617	2817	1741
618	2824	1738
619	2831	1735
620	2837	1731
621	2844	1728
622	2850	1725
623	2857	1721
624	2864	1718
625	2871	1715
626	2877	1711
627	2884	1708
628	2891	1705
629	2897	1701
630	2904	1698
631	2905	1692
632	2912	1688
633	2919	1685
634	2925	1681
635	2932	1678
636	2938	1674
637	2944	1670
638	2951	1667
639	2956	1662
640	2961	1658
641	2966	1654
642	2972	1650
643	2977	1645
644	2983	1642
645	2984	1635
646	2989	1631
647	2996	1627
648	3002	1623
649	3008	1620
650	3010	1613
651	3016	1610
652	3022	1606
653	3028	1602
654	3035	1598
655	3042	1595
656	3048	1591
657	3055	1588
658	3062	1584
659	3069	1581
660	3076	1577
661	3082	1573
662	3089	1570
663	3096	1566
664	3103	1563
665	3109	1559
666	3116	1555
667	3123	1552
668	3129	1548
669	3136	1544
670	3143	1541
671	3149	1537
672	3156	1533
673	3163	1529
674	3170	1526
675	3176	1522
676	3184	1519
677	3190	1515
678	3196	1510
679	3202	1506
680	3208	1503
681	3212	1497
682	3218	1493
683	3225	1490
684	3231	1485
685	3248	1486
686	3254	1482
687	3258	1477
688	3262	1472
689	3266	1467
690	3270	1462
691	3273	1457
692	3277	1452
693	3279	1446
694	3283	1441
695	3287	1435
696	3291	1430
697	3295	1425
698	3298	1420
699	3302	1415
700	3306	1410
701	3309	1405
702	3314	1400
703	3318	1395
704	3322	1390
705	3326	1385
706	3330	1380
707	3334	1375
708	3338	1370
709	3342	1365
710	3346	1360
711	3350	1355
712	3354	1350
713	3358	1345
714	3362	1340
715	3366	1335
716	3370	1330
717	3374	1325
718	3378	1320
719	3382	1315
720	3386	1310
721	3390	1305
722	3394	1300
723	3398	1295
724	3402	1290
725	3405	1285
726	3410	1280
727	3414	1275
728	3418	1270
729	3422	1265
730	3426	1260
731	3431	1256
732	3435	1251
733	3439	1246
734	3444	1241
735	3448	1236
736	3452	1232
737	3456	1227
738	3461	1222
739	3468	1218
740	3474	1214
741	3478	1209
742	3483	1204
743	3489	1200
744	3495	1196
745	3501	1192
746	3506	1187
747	3511	1183
748	3518	1179
749	3524	1174
750	3529	1170
751	3534	1165
752	3539	1161
753	3544	1156
754	3550	1152
755	3555	1147
756	3556	1141
757	3561	1137
758	3566	1132
759	3571	1127
760	3576	1123
761	3581	1118
762	3587	1114
763	3592	1109
764	3596	1104
765	3601	1100
766	3605	1095
767	3610	1090
768	3614	1085
769	3618	1080
770	3622	1076
771	3628	1071
772	3632	1066
773	3637	1061
774	3642	1057
775	3647	1052
776	3647	1046
777	3652	1042
778	3656	1037
779	3661	1032
780	3666	1028
781	3668	1022
782	3672	1017
783	3676	1012
784	3680	1008
785	3685	1003
786	3689	998
787	3694	993
788	3698	989
789	3703	984
790	3708	979
791	3709	974
792	3714	969
793	3719	964
794	3723	960
795	3728	955
796	3733	950
797	3738	946
798	3743	941
799	3748	937
800	3752	932
801	3757	927
802	3762	922
803	3767	918
804	3771	913
805	3776	908
806	3781	904
807	3785	899
808	3789	894
809	3791	889
810	3795	884
811	3801	880
812	3807	875
813	3812	871
814	3817	866
815	3822	861
816	3827	857
817	3832	852
818	3833	847
819	3838	842
820	3843	837
821	3847	833
822	3852	828
823	3857	824
824	3863	819
825	3869	815
826	3875	810
827	3880	806
828	3886	801
829	3892	797
830	3897	792
831	3904	788
832	3911	784
833	3918	779
834	3924	775
835	3926	770
836	3933	766
837	3939	761
838	3946	757
839	3952	752
840	3958	748
841	3965	744
842	3971	739
843	3977	735
844	3982	730
845	3988	725
846	3993	721
847	4000	717
848	4006	712
849	4010	707
850	4016	703
851	4022	698
852	4029	694
853	4036	690
854	4042	685
855	4049	681
856	4055	676
857	4061	672
858	4067	667
859	4074	663
860	4080	658
861	4086	654
862	4092	649
863	4097	644
864	4102	640
865	4108	635
866	4115	631
867	4120	626
868	4126	622
869	4133	617
870	4138	612
871	4144	608
872	4149	603
873	4154	598
874	4159	594
875	4164	589
876	4171	585
877	4177	580
878	4182	575
879	4189	571
880	4195	566
881	4201	562
882	4207	557
883	4213	552
884	4219	548
885	4224	543
886	4230	538
887	4237	534
888	4243	529
889	4249	525
890	4256	520
891	4263	516
892	4270	511
893	4276	507
894	4282	502
