iter	Passed	Remaining
418	2552	3540
419	2557	3531
420	2561	3522
421	2565	3513
422	2570	3505
423	2574	3497
424	2577	3486
425	2581	3478
426	2585	3469
427	2589	3461
428	2594	3452
429	2598	3444
430	2602	3436
431	2608	3429
432	2613	3422
433	2613	3409
434	2614	3396
435	2619	3388
436	2625	3382
437	2630	3375
438	2636	3368
439	2642	3362
440	2647	3356
441	2652	3349
442	2659	3344
443	2664	3337
444	2671	3331
445	2677	3325
446	2683	3319
447	2690	3314
448	2697	3309
449	2704	3304
450	2711	3300
451	2718	3295
452	2725	3290
453	2731	3285
454	2739	3280
455	2746	3276
456	2753	3271
457	2759	3266
458	2766	3260
459	2772	3254
460	2778	3248
461	2784	3242
462	2790	3236
463	2795	3229
464	2801	3223
465	2806	3216
466	2812	3209
467	2818	3203
468	2823	3197
469	2829	3191
470	2836	3186
471	2838	3174
472	2844	3168
473	2850	3163
474	2856	3157
475	2863	3151
476	2868	3145
477	2870	3134
478	2877	3130
479	2884	3124
480	2891	3119
481	2898	3115
482	2904	3109
483	2911	3104
484	2919	3099
485	2926	3094
486	2933	3089
487	2940	3085
488	2947	3080
489	2954	3075
490	2956	3065
491	2963	3060
492	2970	3055
493	2978	3050
494	2984	3045
495	2992	3040
496	2999	3035
497	3006	3030
498	3012	3024
499	3020	3020
500	3027	3015
501	3033	3009
502	3041	3004
503	3047	2999
504	3054	2994
505	3062	2989
506	3064	2979
507	3071	2974
508	3074	2966
509	3080	2960
510	3087	2954
511	3093	2948
512	3100	2943
513	3108	2938
514	3114	2933
515	3121	2927
516	3128	2922
517	3135	2917
518	3142	2912
519	3143	2901
520	3150	2896
521	3157	2891
522	3164	2886
523	3171	2881
524	3178	2876
525	3185	2870
526	3192	2865
527	3199	2860
528	3207	2856
529	3215	2851
530	3222	2846
531	3229	2840
532	3235	2835
533	3241	2828
534	3248	2823
535	3254	2817
536	3261	2811
537	3268	2806
538	3275	2801
539	3282	2795
540	3289	2790
541	3296	2785
542	3303	2779
543	3310	2774
544	3311	2764
545	3318	2759
546	3325	2754
547	3332	2748
548	3339	2743
549	3346	2738
550	3353	2733
